OBJECTID,event_type_cn,event_type_en,Scenario,Threshold_boundaries,S1_label,S1_m2,S1_km2,S2_label,S2_m2,S2_km2,S3_label,S3_m2,S3_km2,S4_label,S4_m2,S4_km2,S5_label,S5_m2,S5_km2,Total_A_m2,Total_A_km2,A_lit_m2,A_lit_km2,PCR,STDHNLPI,ELS,HER
18,越冬地,Wintering,Cm20,"0.4,0.8,4.0,8.0",0-0.4,12181480.684825588,12.181480684825589,0.4-0.8,9695464.218534652,9.695464218534651,0.8-4,7458049.398872809,7.458049398872808,4-8,745804.9398872808,0.7458049398872808,>=8,0.0,0.0,30080799.24212033,30.080799242120328,17899318.55729474,17.89931855729474,0.5950413223140496,0.2231404958677686,0.375,0.024793388429752
1,繁殖地,Breeding,C0,"0.5,1.0,5.0,10.0",0-0.5,44499694.74660771,44.49969474660772,0.5-1,0.0,0.0,1-5,0.0,0.0,5-10,0.0,0.0,>=10,0.0,0.0,44499694.74660771,44.49969474660772,0.0,0.0,0.0,0.0,,0.0
2,关键停留地,Key stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,0.0,0.0,0.5-1,54443760.61177145,54.44376061177145,1-5,5469236.225840054,5.469236225840055,5-10,0.0,0.0,>=10,0.0,0.0,59912996.837611504,59.9129968376115,59912996.837611504,59.9129968376115,1.0,0.2728215767634854,0.2728215767634854,0.0
3,关键停留地,Key stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,178247380.63305995,178.24738063305995,0.5-1,2486016.466290934,2.486016466290934,1-5,745804.9398872801,0.7458049398872801,5-10,0.0,0.0,>=10,0.0,0.0,181479202.03923813,181.47920203923812,3231821.406178214,3.2318214061782142,0.0178082191780821,0.0054794520547945,0.3076923076923077,0.0
4,关键停留地,Key stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,0.0,0.0,0.5-1,4723431.285952775,4.723431285952775,1-5,80049730.21456808,80.04973021456807,5-10,7458049.398872802,7.458049398872802,>=10,497203.2932581868,0.4972032932581868,92728414.19265184,92.72841419265184,92728414.19265184,92.72841419265184,1.0,0.510053619302949,0.510053619302949,0.0857908847184986
5,关键停留地,Key stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,124300823.31454667,124.30082331454668,0.5-1,7706651.045501895,7.706651045501895,1-5,248601.6466290934,0.2486016466290934,5-10,0.0,0.0,>=10,0.0,0.0,132256076.00667769,132.2560760066777,7955252.692130988,7.955252692130989,0.0601503759398496,0.0155075187969924,0.2578125,0.0
6,关键停留地,Key stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,300559390.7745739,300.5593907745739,0.5-1,26848977.83594209,26.848977835942087,1-5,1988813.173032747,1.9888131730327472,5-10,0.0,0.0,>=10,0.0,0.0,329397181.7835488,329.3971817835488,28837791.00897483,28.837791008974836,0.0875471698113207,0.0233962264150943,0.2672413793103448,0.0
7,关键停留地,Key stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,117339977.20893209,117.33997720893208,0.5-1,17153513.617407445,17.153513617407445,1-5,0.0,0.0,5-10,0.0,0.0,>=10,0.0,0.0,134493490.82633954,134.49349082633955,17153513.617407445,17.153513617407445,0.1275415896487985,0.0318853974121996,0.25,0.0
8,临时停留地,Temporary stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,14916098.797745604,14.916098797745605,0.5-1,0.0,0.0,1-5,0.0,0.0,5-10,0.0,0.0,>=10,0.0,0.0,14916098.797745604,14.916098797745605,0.0,0.0,0.0,0.0,,0.0
9,临时停留地,Temporary stopover,C0,"0.5,1.0,5.0,10.0",0-0.5,53449354.02525508,53.44935402525508,0.5-1,1740211.5264036537,1.7402115264036535,1-5,0.0,0.0,5-10,0.0,0.0,>=10,0.0,0.0,55189565.55165873,55.18956555165872,1740211.5264036537,1.7402115264036535,0.0315315315315315,0.0078828828828828,0.25,0.0
