Year,Corridor_percentile,CEq_nW_cm-2_sr-1,Valid_area_km2,Valid_cell_count,Cell_area_m2
2022,50,1.07705654409961,51849.5,207398,250000.0
2022,75,0.930148400802184,53189.0,212756,250000.0
2022,95,0.910928884081843,53559.25,214237,250000.0
2023,50,1.166707868,51594.5,206378,250000.0
2023,75,1.017084498,53145.75,212583,250000.0
2023,95,0.984019,53450.25,213801,250000.0
2024,50,1.15066048573373,52163.5,208654,250000.0
2024,75,0.998778479891373,53290.75,213163,250000.0
2024,95,0.972763926048402,53637.25,214549,250000.0
