metric,group_a,group_b,n_a,n_b,mean_a,mean_b,sd_a,sd_b,median_a,median_b,q1_a,q3_a,q1_b,q3_b,u_statistic,p_reference,p_primary,reference_method,primary_method,has_ties,cles,rank_biserial,mean_diff_a_minus_b,median_diff_a_minus_b,hodges_lehmann_shift,is_primary_metric,p_adjust_method,p_adjusted_primary,reject_primary
PCR,关键停留地,临时停留地,6,10,0.3821745590963415,0.029396607047017086,0.4799004485734959,0.05068749788137607,0.10754437973005951,0.004742547425474249,0.06699957440771734,0.7818853974121989,0.0,0.026916622504857775,52.0,0.017929439801965447,0.015484515484515484,manuscript_asymptotic,permutation,True,0.8666666666666667,0.7333333333333334,0.35277795204932444,0.10280183230458526,0.08754716981132067,True,fdr_bh,0.02972027972027972,True
STD_HNLPI,关键停留地,临时停留地,6,10,0.14319063179091912,0.008429928273036971,0.20659115887584162,0.014373762513240651,0.02764081191364695,0.0013550135501354998,0.01747969570151793,0.21258753192566382,0.0,0.006729155626214444,51.0,0.024009592058192218,0.02147852147852148,manuscript_asymptotic,permutation,True,0.85,0.7,0.13476070351788216,0.026285798363511453,0.02339622641509432,True,fdr_bh,0.02972027972027972,True
ELS,关键停留地,临时停留地,6,10,0.3109368971781812,0.14014550264550266,0.09955458737390914,0.1514710545803698,0.2700314780369152,0.125,0.2601697198275862,0.29897462496010213,0.0,0.25,49.5,0.03504303655094346,0.02972027972027972,manuscript_asymptotic,permutation,True,0.825,0.6499999999999999,0.17079139453267853,0.14503147803691518,0.25,True,fdr_bh,0.02972027972027972,True
MEAN,关键停留地,临时停留地,6,10,0.5787208021613264,0.02542657222438973,1.0124048522237652,0.046189942635771815,0.06610460113037231,0.003185975963507242,0.040542003595608306,0.5573784925163074,0.0,0.01692483075604046,51.0,0.024009592058192218,0.02147852147852148,manuscript_asymptotic,permutation,True,0.85,0.7,0.5532942299369367,0.06291862516686507,0.05888024483086926,False,,,
PCT90,关键停留地,临时停留地,6,10,1.0366810937722524,0.05203577041625977,1.8498268774807118,0.16455155431698892,0.2627306282520294,0.0,0.0,0.8570238202810287,0.0,0.0,43.5,0.0639650620946166,0.07142857142857142,manuscript_asymptotic,permutation,True,0.725,0.44999999999999996,0.9846453233559926,0.2627306282520294,0.0025517761707305464,False,,,
HER,关键停留地,临时停留地,6,10,0.014298480786416429,0.0008375209380234498,0.0350239820237094,0.002648473752234821,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.7060817412140714,0.75,manuscript_asymptotic,permutation,True,0.5416666666666666,0.08333333333333326,0.013460959848392979,0.0,0.0,False,,,
