OBJECTID,event_type,metric_name,raw_value,recalculated_value,abs_diff,within_tolerance
10,临时停留地,PCR,0.0,0.0,0.0,True
10,临时停留地,HER,0.0,0.0,0.0,True
10,临时停留地,STD_HNLPI,0.0,0.0,0.0,True
10,临时停留地,P1,0.0,0.0,0.0,True
10,临时停留地,P2,0.0,0.0,0.0,True
10,临时停留地,P3,0.0,0.0,0.0,True
10,临时停留地,P4,0.0,0.0,0.0,True
10,临时停留地,HER_LIT,0.0,0.0,0.0,True
10,临时停留地,ELS,0.0,0.0,0.0,True
11,临时停留地,NTL_AREA,497203.2932581868,497203.2932581868,0.0,True
11,临时停留地,HNLPI,0.01307189542483659,0.01307189542483659,0.0,True
11,临时停留地,PCR,0.01307189542483659,0.01307189542483659,0.0,True
11,临时停留地,HER,0.0,0.0,0.0,True
11,临时停留地,STD_HNLPI,0.0032679738562091474,0.0032679738562091474,0.0,True
11,临时停留地,P1,1.0,1.0,0.0,True
11,临时停留地,P2,0.0,0.0,0.0,True
11,临时停留地,P3,0.0,0.0,0.0,True
11,临时停留地,P4,0.0,0.0,0.0,True
11,临时停留地,HER_LIT,0.0,0.0,0.0,True
11,临时停留地,ELS,0.25,0.25,0.0,True
12,临时停留地,NTL_AREA,0.0,0.0,0.0,True
12,临时停留地,HNLPI,0.0,0.0,0.0,True
12,临时停留地,PCR,0.0,0.0,0.0,True
12,临时停留地,HER,0.0,0.0,0.0,True
12,临时停留地,STD_HNLPI,0.0,0.0,0.0,True
12,临时停留地,P1,0.0,0.0,0.0,True
12,临时停留地,P2,0.0,0.0,0.0,True
12,临时停留地,P3,0.0,0.0,0.0,True
12,临时停留地,P4,0.0,0.0,0.0,True
12,临时停留地,HER_LIT,0.0,0.0,0.0,True
12,临时停留地,ELS,0.0,0.0,0.0,True
13,临时停留地,NTL_AREA,13424488.917971045,13424488.917971045,0.0,True
13,临时停留地,HNLPI,0.13232830820770505,0.13232830820770505,0.0,True
13,临时停留地,PCR,0.09045226130653258,0.09045226130653258,0.0,True
13,临时停留地,HER,0.008375209380234498,0.008375209380234498,0.0,True
13,临时停留地,STD_HNLPI,0.03308207705192626,0.03308207705192626,0.0,True
13,临时停留地,P1,0.6296296296296295,0.6296296296296295,0.0,True
13,临时停留地,P2,0.27777777777777773,0.27777777777777773,0.0,True
13,临时停留地,P3,0.09259259259259259,0.09259259259259259,0.0,True
13,临时停留地,P4,0.0,0.0,0.0,True
13,临时停留地,HER_LIT,0.09259259259259259,0.09259259259259259,0.0,True
13,临时停留地,ELS,0.3657407407407407,0.3657407407407407,0.0,True
14,临时停留地,NTL_AREA,0.0,0.0,0.0,True
14,临时停留地,HNLPI,0.0,0.0,0.0,True
14,临时停留地,PCR,0.0,0.0,0.0,True
14,临时停留地,HER,0.0,0.0,0.0,True
14,临时停留地,STD_HNLPI,0.0,0.0,0.0,True
14,临时停留地,P1,0.0,0.0,0.0,True
14,临时停留地,P2,0.0,0.0,0.0,True
14,临时停留地,P3,0.0,0.0,0.0,True
14,临时停留地,P4,0.0,0.0,0.0,True
14,临时停留地,HER_LIT,0.0,0.0,0.0,True
14,临时停留地,ELS,0.0,0.0,0.0,True
15,临时停留地,NTL_AREA,1740211.5264036534,1740211.5264036534,0.0,True
15,临时停留地,HNLPI,0.010840108401083999,0.010840108401083999,0.0,True
15,临时停留地,PCR,0.009485094850948499,0.009485094850948499,0.0,True
15,临时停留地,HER,0.0,0.0,0.0,True
15,临时停留地,STD_HNLPI,0.0027100271002709997,0.0027100271002709997,0.0,True
15,临时停留地,P1,0.8571428571428571,0.8571428571428571,0.0,True
15,临时停留地,P2,0.14285714285714288,0.14285714285714288,0.0,True
15,临时停留地,P3,0.0,0.0,0.0,True
15,临时停留地,P4,0.0,0.0,0.0,True
15,临时停留地,HER_LIT,0.0,0.0,0.0,True
15,临时停留地,ELS,0.2857142857142857,0.2857142857142857,0.0,True
16,临时停留地,NTL_AREA,0.0,0.0,0.0,True
16,临时停留地,HNLPI,0.0,0.0,0.0,True
16,临时停留地,PCR,0.0,0.0,0.0,True
16,临时停留地,HER,0.0,0.0,0.0,True
16,临时停留地,STD_HNLPI,0.0,0.0,0.0,True
16,临时停留地,P1,0.0,0.0,0.0,True
16,临时停留地,P2,0.0,0.0,0.0,True
16,临时停留地,P3,0.0,0.0,0.0,True
16,临时停留地,P4,0.0,0.0,0.0,True
16,临时停留地,HER_LIT,0.0,0.0,0.0,True
16,临时停留地,ELS,0.0,0.0,0.0,True
17,临时停留地,NTL_AREA,3231821.406178214,3231821.406178214,0.0,True
17,临时停留地,HNLPI,0.14942528735632168,0.14942528735632168,0.0,True
17,临时停留地,PCR,0.14942528735632168,0.14942528735632168,0.0,True
17,临时停留地,HER,0.0,0.0,0.0,True
17,临时停留地,STD_HNLPI,0.03735632183908042,0.03735632183908042,0.0,True
17,临时停留地,P1,1.0,1.0,0.0,True
17,临时停留地,P2,0.0,0.0,0.0,True
17,临时停留地,P3,0.0,0.0,0.0,True
17,临时停留地,P4,0.0,0.0,0.0,True
17,临时停留地,HER_LIT,0.0,0.0,0.0,True
17,临时停留地,ELS,0.25,0.25,0.0,True
18,越冬地,NTL_AREA,17899318.557294723,17899318.557294723,0.0,True
18,越冬地,HNLPI,0.8016528925619826,0.8016528925619826,0.0,True
18,越冬地,PCR,0.5950413223140489,0.5950413223140489,0.0,True
18,越冬地,HER,0.008264462809917347,0.008264462809917347,0.0,True
18,越冬地,STD_HNLPI,0.20041322314049564,0.20041322314049564,0.0,True
18,越冬地,P1,0.6666666666666665,0.6666666666666665,0.0,True
18,越冬地,P2,0.3194444444444445,0.3194444444444445,0.0,True
18,越冬地,P3,0.01388888888888889,0.01388888888888889,0.0,True
18,越冬地,P4,0.0,0.0,0.0,True
18,越冬地,HER_LIT,0.01388888888888889,0.01388888888888889,0.0,True
18,越冬地,ELS,0.3368055555555555,0.3368055555555555,0.0,True
