corridor_percentile,count,area_m2,corridor_exposure,area_km2,delta_area_vs_prev_pct,delta_exposure_vs_prev_pct,delta_area_vs_50_pct,delta_exposure_vs_50_pct
0.5,206378,51594500000,1.166707867974194,51594.5,,,0.0,0.0
0.75,212583,53145750000,1.017084498461371,53145.75,3.0066189225595785,-12.824407344798372,3.0066189225595785,-12.824407344798372
0.95,213801,53450250000,0.984019,53450.25,0.5729526820112518,-3.2510080048798184,3.596798108325494,-15.658492840320404
