group,metric,n,mean,sd,median,q1,q3,min,max
临时停留地,PCR,10,0.029396607047017086,0.05068749788137607,0.004742547425474249,0.0,0.026916622504857775,0.0,0.14942528735632168
临时停留地,STD_HNLPI,10,0.008429928273036971,0.014373762513240651,0.0013550135501354998,0.0,0.006729155626214444,0.0,0.03735632183908042
临时停留地,ELS,10,0.14014550264550266,0.1514710545803698,0.125,0.0,0.25,0.0,0.3657407407407407
临时停留地,MEAN,10,0.02542657222438973,0.046189942635771815,0.003185975963507242,0.0,0.01692483075604046,0.0,0.1313887181593544
临时停留地,PCT90,10,0.05203577041625977,0.16455155431698892,0.0,0.0,0.0,0.0,0.5203577041625977
临时停留地,HER,10,0.0008375209380234498,0.002648473752234821,0.0,0.0,0.0,0.0,0.008375209380234498
关键停留地,PCR,6,0.3821745590963415,0.4799004485734959,0.10754437973005951,0.06699957440771734,0.7818853974121989,0.01780821917808218,0.9999999999999992
关键停留地,STD_HNLPI,6,0.14319063179091912,0.20659115887584162,0.02764081191364695,0.01747969570151793,0.21258753192566382,0.005479452054794516,0.5100536193029487
关键停留地,ELS,6,0.3109368971781812,0.09955458737390914,0.2700314780369152,0.2601697198275862,0.29897462496010213,0.25,0.510053619302949
关键停留地,MEAN,6,0.5787208021613264,1.0124048522237652,0.06610460113037231,0.040542003595608306,0.5573784925163074,0.01646122867113922,2.570496787973768
关键停留地,PCT90,6,1.0366810937722524,1.8498268774807118,0.2627306282520294,0.0,0.8570238202810287,0.0,4.727080631256103
关键停留地,HER,6,0.014298480786416429,0.0350239820237094,0.0,0.0,0.0,0.0,0.08579088471849858
繁殖地,PCR,1,0.0,,0.0,0.0,0.0,0.0,0.0
繁殖地,STD_HNLPI,1,0.0,,0.0,0.0,0.0,0.0,0.0
繁殖地,ELS,1,0.0,,0.0,0.0,0.0,0.0,0.0
繁殖地,MEAN,1,0.0,,0.0,0.0,0.0,0.0,0.0
繁殖地,PCT90,1,0.0,,0.0,0.0,0.0,0.0,0.0
繁殖地,HER,1,0.0,,0.0,0.0,0.0,0.0,0.0
越冬地,PCR,1,0.5950413223140489,,0.5950413223140489,0.5950413223140489,0.5950413223140489,0.5950413223140489,0.5950413223140489
越冬地,STD_HNLPI,1,0.20041322314049564,,0.20041322314049564,0.20041322314049564,0.20041322314049564,0.20041322314049564,0.20041322314049564
越冬地,ELS,1,0.3368055555555555,,0.3368055555555555,0.3368055555555555,0.3368055555555555,0.3368055555555555,0.3368055555555555
越冬地,MEAN,1,0.7117469734396817,,0.7117469734396817,0.7117469734396817,0.7117469734396817,0.7117469734396817,0.7117469734396817
越冬地,PCT90,1,2.10346245765686,,2.10346245765686,2.10346245765686,2.10346245765686,2.10346245765686,2.10346245765686
越冬地,HER,1,0.008264462809917347,,0.008264462809917347,0.008264462809917347,0.008264462809917347,0.008264462809917347,0.008264462809917347
